survey_gender,survey_age,survey_taste_type,survey_taste_sweet,survey_taste_sour,survey_taste_body,survey_taste_soda,survey_alcohole,survey_price,survey_drink_answer
0,25,0,4,1,2,0,5,15000,자연담은 복분자막걸리
0,25,1,3,2,2,0,10,5000,우포
0,30,1,4,2,4,0,10,15000,술아 국화주
0,25,3,3,1,4,0,40,45000,담솔
0,20,1,3,2,3,0,15,15000,제주 오메기 맑은 술
1,30,3,3,0,3,0,10,5000,매실원주
0,35,2,3,3,3,1,0,5000,애피소드 상그리아
0,30,3,4,0,3,0,10,45000,원매
0,30,0,3,1,1,1,5,15000,우주멜론미 스파클링 막걸리
1,40,1,3,2,3,0,40,15000,술아 순곡주
0,40,0,3,3,3,0,5,5000,우도 땅콩 전통주
1,25,1,3,3,4,0,10,45000,동짓달 기나긴 밤
0,30,0,4,4,4,0,10,45000,별산막걸리
1,40,0,2,1,2,1,5,5000,참주가 솔 막걸리
0,25,3,2,0,4,0,15,5000,술샘19
1,25,0,3,2,4,0,5,15000,감천막걸리
0,30,3,0,0,4,0,20,100000,고리진
0,20,2,3,3,3,0,5,100000,시나브로 청수 화이트
0,25,3,2,0,2,0,5,5000,매실원주
0,40,0,3,3,3,0,5,5000,우도 땅콩 전통주
1,25,1,3,3,3,0,30,45000,제주 오메기 맑은 술
0,25,0,4,1,2,0,5,15000,자연담은 복분자막걸리
0,25,1,4,2,4,0,15,15000,한산소곡주
1,20,2,5,3,3,0,40,100000,샤토미소 아이스와인
0,30,1,2,4,3,0,10,5000,송이주
0,30,1,0,4,3,0,5,5000,능이주
1,20,2,3,3,2,0,15,5000,조은술 세종 바나나
0,25,3,3,0,3,0,15,5000,매실원주
0,30,0,3,2,2,0,5,5000,대대포 막걸리
1,25,0,4,2,3,0,5,5000,DOK막걸리
1,25,0,3,3,2,0,5,5000,냥이탁주5
0,25,1,3,2,3,0,20,15000,김포특주
0,30,0,3,2,3,0,10,5000,백련 미스티 살균 막걸리
0,30,2,2,3,3,0,5,45000,크라테 미디엄드라이
1,25,1,4,3,1,0,5,5000,매화깊은밤
1,25,0,3,2,2,0,5,5000,대대포 막걸리
0,25,3,1,0,3,0,40,100000,고리진
0,35,1,4,3,4,0,30,45000,경성과하주
0,25,3,3,0,4,0,40,45000,담솔
0,25,1,3,3,2,0,30,15000,감사
0,25,0,4,1,2,0,5,15000,자연담은 복분자막걸리
0,20,1,4,2,4,0,20,15000,한산소곡주
1,25,0,3,2,4,0,10,15000,벗이랑 버찌 홍국
1,30,2,4,3,2,1,0,15000,미르아토 로제와인
0,25,0,3,2,3,0,5,15000,백련 미스티 살균 막걸리
0,25,0,4,1,3,0,0,5000,동래아들
1,20,1,4,1,4,0,15,15000,한산소곡주
0,20,0,4,3,3,0,10,15000,만강에 비친 달
0,40,0,4,2,4,0,5,5000,감천막걸리
1,20,0,3,1,3,0,5,5000,동래아들
1,20,0,4,3,3,0,10,15000,만강에 비친 달
1,30,1,3,3,4,0,30,75000,동짓달 기나긴 밤
1,25,2,2,3,2,0,10,100000,산머루 크라테 드라이
1,25,0,4,2,4,0,0,15000,감천막걸리
0,30,0,4,2,3,0,0,15000,마크홀리 오리지널 6.0
1,30,2,3,5,3,0,10,15000,크라테 자두와인
0,25,0,3,2,4,0,0,15000,감천막걸리
0,25,0,3,2,0,1,5,5000,우주멜론미 스파클링 막걸리
1,40,0,3,2,3,0,5,5000,백련 미스티 살균 막걸리
0,25,3,0,3,4,0,40,75000,고리진
0,25,2,4,3,2,1,5,15000,미르아토 로제와인
0,25,1,4,2,2,0,40,15000,술아 순곡주
0,30,0,3,3,3,0,15,5000,민주 허브 막걸리
1,20,1,3,2,3,0,15,5000,김포특주
0,25,0,3,2,4,0,10,15000,벗이랑 버찌 홍국
1,30,1,2,2,3,0,20,15000,우렁이쌀 청주
1,25,0,4,2,3,0,0,15000,마크홀리 오리지널 6.0
0,20,2,3,4,5,0,20,100000,샤토미소 아이스와인
0,25,3,1,0,1,0,30,15000,서울의 밤 25%
1,20,0,4,0,1,1,10,5000,우주멜론미 스파클링 막걸리
0,25,0,4,0,4,0,5,5000,동래아들
0,25,0,2,2,4,0,10,15000,오산막걸리
1,35,1,3,3,4,0,40,75000,동짓달 기나긴 밤
0,20,1,3,2,3,0,40,15000,술아 순곡주
0,35,1,2,1,1,0,20,15000,서설
0,30,2,3,2,3,0,10,15000,추사 블루 스위트
0,30,0,4,1,4,0,5,5000,동래아들
0,35,0,1,1,4,0,10,5000,오산막걸리
1,20,0,3,3,4,0,10,15000,벗이랑 강황
0,25,1,4,2,3,0,10,45000,술아 연화주
0,25,1,4,3,2,0,10,15000,매화깊은밤
0,30,1,3,2,2,0,10,15000,우포
0,25,2,3,3,2,0,15,15000,사과와인
0,30,0,3,2,3,0,5,15000,백련 미스티 살균 막걸리
0,25,2,3,3,3,0,15,45000,시나브로 청수 화이트
0,25,0,3,2,4,0,15,5000,벗이랑 버찌 홍국
1,20,3,4,0,3,0,10,15000,꿀샘 16
1,25,0,5,1,3,0,10,5000,동래아들
0,30,1,3,2,3,0,15,15000,제주 오메기 맑은 술
1,25,0,4,2,3,0,5,15000,담은
1,20,0,3,0,1,1,5,15000,우주멜론미 스파클링 막걸리
1,20,0,3,1,3,0,15,45000,금풍양조
0,20,1,3,1,4,0,20,45000,세종대왕어주 약주
0,20,1,3,1,3,0,15,5000,김포특주
1,20,3,4,0,3,0,20,15000,꿀샘 16
1,20,2,3,2,3,0,10,15000,추사 블루 스위트
1,20,1,4,3,3,0,10,5000,보리수헤는밤
1,20,1,0,0,0,0,5,5000,서설
1,30,2,2,1,2,0,5,15000,단감명작
1,25,0,3,3,4,0,5,5000,벗이랑 강황
1,25,3,3,0,3,0,0,5000,매실원주
1,25,0,3,2,3,0,5,5000,백련 미스티 살균 막걸리
1,35,2,4,3,3,0,30,75000,시나브로 청수 화이트
1,20,0,4,2,2,0,5,5000,자연담은 복분자막걸리
0,25,3,0,1,2,0,15,45000,토끼 소주(화이트)
1,25,0,3,3,4,0,15,5000,벗이랑 강황
1,20,2,4,2,3,0,10,15000,복숭아와인
1,25,0,3,2,3,0,5,15000,백련 미스티 살균 막걸리
1,20,0,3,3,3,0,15,5000,민주 허브 막걸리
1,20,0,5,2,1,1,0,15000,우주멜론미 스파클링 막걸리
0,30,0,3,2,3,0,5,45000,금풍양조
0,30,0,3,2,3,0,5,45000,금풍양조
0,20,1,0,3,4,0,5,15000,그리움
1,30,0,3,2,3,0,0,5000,백련 미스티 살균 막걸리
0,20,3,3,0,3,0,20,45000,술샘16
0,30,0,3,3,3,0,5,5000,우도 땅콩 전통주
0,25,1,3,4,3,0,15,45000,제주 오메기 맑은 술
0,25,0,5,0,0,1,0,5000,우주멜론미 스파클링 막걸리
0,25,1,2,2,3,0,15,15000,우렁이쌀 청주
1,40,0,3,3,4,0,5,5000,벗이랑 강황
1,30,1,1,1,0,0,5,15000,서설
0,20,3,0,1,4,0,5,15000,모리
0,20,1,3,2,4,0,40,75000,동짓달 기나긴 밤
1,40,0,3,3,3,0,5,5000,우도 땅콩 전통주
0,25,1,3,2,2,0,15,5000,우포
0,20,2,2,2,3,0,20,75000,시나브로 청수 화이트
1,25,0,4,2,3,0,0,15000,마크홀리 오리지널 6.0
1,20,0,4,1,3,0,0,5000,동래아들
1,25,0,2,2,4,0,15,15000,오산막걸리
0,25,0,5,3,4,0,5,5000,하얀 까마귀
0,40,3,0,3,4,0,40,75000,고리진
0,25,3,3,0,2,0,5,5000,매실원주
0,35,0,4,2,0,1,0,5000,우주멜론미 스파클링 막걸리
1,20,3,3,0,3,0,20,15000,술샘16
1,20,2,4,3,2,1,0,5000,미르아토 로제와인
1,30,0,3,2,4,0,0,5000,감천막걸리
0,25,0,3,3,4,0,10,15000,벗이랑 강황
1,25,1,3,3,4,0,30,15000,청명주
0,25,1,0,2,4,0,20,15000,그리움
0,30,3,1,0,2,0,15,5000,서울의 밤 25%
1,25,0,4,2,3,0,0,15000,마크홀리 오리지널 6.0
1,25,1,4,3,1,0,10,15000,매화깊은밤
1,30,1,2,2,3,0,20,15000,우렁이쌀 청주
0,30,1,3,1,3,0,15,5000,김포특주
1,35,0,2,2,4,0,10,5000,오산막걸리
1,25,0,2,2,2,1,5,5000,참주가 솔 막걸리
0,40,1,4,2,3,0,15,45000,술아 연화주
0,25,0,1,1,2,1,5,5000,참주가 솔 막걸리
0,30,0,3,1,1,1,5,15000,우주멜론미 스파클링 막걸리
0,20,0,3,2,4,0,0,45000,금풍양조
0,25,2,5,5,5,0,40,100000,샤토미소 아이스와인
0,25,1,3,0,1,0,15,5000,서설
1,30,0,4,4,3,0,20,15000,바랑 탁
0,30,3,0,0,1,0,15,5000,여유19
0,20,1,2,0,0,0,5,5000,서설
0,20,1,2,3,3,0,30,45000,청주신선주 약주 16%
1,25,1,2,1,1,0,10,5000,서설
0,30,0,3,2,2,0,0,5000,대대포 막걸리
0,25,1,2,2,1,0,15,5000,서설
1,25,1,3,1,3,0,15,15000,우렁이쌀 청주
0,20,2,4,2,3,0,10,15000,복숭아와인
0,30,0,3,2,3,0,10,5000,백련 미스티 살균 막걸리
1,30,3,2,0,2,0,10,5000,술샘19
1,20,3,3,0,2,0,15,5000,매실원주
0,25,0,4,1,3,0,5,5000,동래아들
1,20,1,4,1,5,0,15,15000,한산소곡주
1,20,0,4,2,3,0,0,5000,DOK막걸리
0,30,2,2,3,3,0,10,75000,산머루 크라테 드라이
1,25,3,3,0,3,0,5,15000,매실원주
0,40,0,3,2,2,0,5,5000,대대포 막걸리
1,25,0,3,3,3,0,15,15000,민주 허브 막걸리
0,30,1,2,3,5,0,40,45000,동짓달 기나긴 밤
0,35,1,3,1,2,0,10,5000,우포
0,25,0,4,3,4,0,10,15000,지란지교
1,30,0,2,3,4,0,20,15000,벗이랑 강황
1,20,2,3,2,3,0,10,15000,추사 블루 스위트
1,25,3,0,0,3,0,15,5000,모리
0,30,2,3,2,2,0,5,45000,허니문
0,25,3,2,2,4,0,40,45000,담솔
0,20,2,2,3,2,1,15,15000,오롯이 복숭아
0,30,1,0,0,0,0,10,5000,서설
1,20,3,3,0,2,0,20,45000,오매락
0,25,0,4,2,3,0,10,5000,DOK막걸리
1,20,1,4,3,3,0,5,5000,보리수헤는밤
0,20,0,3,3,3,0,5,15000,우도 땅콩 전통주
1,25,2,4,2,2,0,0,45000,허니비
0,30,2,4,3,3,0,10,45000,세인트하우스 가시오가피 와인
0,30,0,4,4,3,0,20,15000,바랑 탁
0,30,0,4,1,2,0,5,15000,자연담은 복분자막걸리
0,25,0,3,1,4,0,15,15000,벗이랑 버찌 홍국
0,25,2,4,3,3,0,15,15000,추사 애플와인
0,25,1,0,0,0,0,5,5000,서설
0,35,1,0,0,0,0,0,5000,서설
0,30,0,4,3,3,0,10,15000,만강에 비친 달
0,30,1,0,0,0,0,0,5000,서설
0,30,1,3,2,3,0,15,5000,김포특주
1,35,3,3,0,2,0,10,15000,매실원주
0,25,1,3,2,3,0,15,5000,김포특주
0,25,1,4,3,3,0,10,5000,보리수헤는밤
0,30,1,1,1,4,0,20,45000,세종대왕어주 약주
0,25,0,3,1,1,1,10,5000,우주멜론미 스파클링 막걸리
1,25,0,3,0,0,1,0,15000,우주멜론미 스파클링 막걸리
0,30,3,2,0,1,0,30,45000,오매락
0,25,1,1,1,4,0,20,75000,세종대왕어주 약주
1,20,0,3,1,2,1,5,15000,별산오디 스파클링 막걸리
1,30,1,4,3,3,0,5,15000,보리수헤는밤
1,20,3,2,0,3,0,15,5000,술샘19
1,30,3,1,1,3,0,40,15000,병영소주
0,30,1,2,2,3,0,15,5000,김포특주
0,25,1,4,3,2,0,5,5000,매화깊은밤
0,35,0,3,2,2,0,5,5000,대대포 막걸리
0,30,3,3,0,4,0,15,5000,매실원주
0,20,1,3,2,4,0,20,45000,동짓달 기나긴 밤
0,25,3,0,0,2,0,15,5000,여유19
0,25,2,3,3,3,1,0,5000,애피소드 상그리아
1,20,2,3,2,3,0,15,75000,시나브로 청수 화이트
0,25,0,4,1,3,0,0,5000,동래아들
1,30,0,3,1,3,0,0,15000,동래아들
0,25,0,3,4,1,1,0,15000,얼떨결에 퍼플
0,25,1,3,2,4,0,20,45000,동짓달 기나긴 밤
0,25,0,2,3,3,0,10,5000,해창 막걸리 9도
0,30,1,3,2,2,0,10,5000,우포
1,25,3,3,0,4,0,40,100000,고리진
0,30,1,0,0,0,0,0,5000,서설
0,30,0,4,1,2,0,0,5000,자연담은 복분자막걸리
0,25,2,2,3,4,0,20,75000,그랑꼬또 청수
0,30,0,3,1,4,0,20,15000,벗이랑 버찌 홍국
1,25,0,3,1,3,0,5,15000,동래아들
1,30,0,3,2,2,0,5,5000,대대포 막걸리
1,20,0,4,1,2,0,0,5000,자연담은 복분자막걸리
1,20,0,3,1,2,1,0,15000,별산오디 스파클링 막걸리
0,25,1,2,1,3,0,15,15000,우렁이쌀 청주
0,25,1,4,3,3,0,40,45000,술아 순곡주
0,20,1,3,1,3,0,15,5000,김포특주
0,30,0,2,0,3,1,20,100000,말이야 막걸리야
0,25,1,3,3,3,0,30,5000,삼양춘 청주
0,25,1,2,2,4,0,30,45000,세종대왕어주 약주
0,30,3,2,0,3,0,15,5000,술샘19
1,20,2,2,1,2,0,5,15000,단감명작
0,25,0,4,1,2,0,0,15000,자연담은 복분자막걸리
1,20,3,2,4,1,0,20,15000,홍삼명주
1,20,3,3,0,2,0,10,5000,매실원주
0,20,3,1,1,1,0,40,15000,서울의 밤 25%
1,25,2,3,3,2,0,10,15000,사과와인
0,25,0,4,2,3,0,5,15000,담은
0,20,0,4,1,2,0,0,5000,자연담은 복분자막걸리
0,30,2,3,3,3,0,10,15000,고도리 화이트와인 스위트
0,30,1,4,3,2,0,10,15000,매화깊은밤
0,25,1,2,1,3,0,0,15000,우렁이쌀 청주
0,20,0,3,3,2,0,5,5000,냥이탁주5
1,20,0,3,1,1,1,10,5000,우주멜론미 스파클링 막걸리
1,20,0,4,0,1,1,5,15000,우주멜론미 스파클링 막걸리
0,25,0,3,2,4,0,15,15000,벗이랑 버찌 홍국
0,30,0,3,3,4,0,15,15000,벗이랑 강황
0,30,1,1,2,3,0,10,15000,그리움
0,25,1,2,1,4,0,30,75000,세종대왕어주 약주
0,20,2,3,3,2,0,10,15000,사과와인
1,20,0,3,3,3,0,10,5000,냥이탁주9
0,25,0,5,5,5,0,0,5000,별산막걸리
1,20,2,4,2,3,0,10,15000,복숭아와인
0,20,1,3,1,3,0,15,5000,김포특주
1,20,0,2,2,3,0,10,5000,백련 미스티 살균 막걸리
1,25,1,3,2,3,0,15,15000,제주 오메기 맑은 술
1,20,0,4,1,3,0,10,15000,동래아들
1,20,0,3,1,4,0,15,15000,벗이랑 버찌 홍국
0,35,2,3,2,4,0,15,75000,시나브로 청수 화이트
0,25,1,1,1,3,0,20,5000,우렁이쌀 청주
1,40,0,3,1,2,1,5,15000,별산오디 스파클링 막걸리
1,20,2,4,4,1,0,0,5000,고도리 복숭아와인
1,40,0,3,3,4,0,15,5000,벗이랑 강황
1,25,0,2,3,4,0,15,15000,벗이랑 강황
