survey_gender,survey_age,survey_taste_type,survey_taste_sweet,survey_taste_sour,survey_taste_body,survey_taste_soda,survey_alcohole,survey_price,survey_drink_answer
0,25,0,3,2,3,0,5,15000,백련 미스티 살균 막걸리
1,25,0,4,2,2,0,0,5000,자연담은 복분자막걸리
1,20,1,2,1,3,0,20,15000,우렁이쌀 청주
0,20,1,3,1,2,0,15,15000,우포
0,25,1,2,2,2,0,15,15000,녹파주
0,20,2,3,2,3,0,10,15000,추사 블루 스위트
1,25,3,3,0,4,0,5,15000,매실원주
1,25,1,3,2,3,0,15,15000,제주 오메기 맑은 술
1,30,2,3,2,3,0,10,15000,추사 블루 스위트
1,40,1,3,0,0,0,20,5000,서설
0,25,1,1,3,4,0,15,15000,그리움
0,25,1,2,3,3,0,30,45000,청주신선주 약주 16%
0,30,1,3,1,2,0,10,5000,우포
1,25,1,2,1,3,0,15,5000,우렁이쌀 청주
0,20,0,3,3,3,0,15,5000,민주 허브 막걸리
0,30,0,3,3,4,0,40,5000,양지백주
0,25,0,4,3,3,0,10,15000,만강에 비친 달
0,30,1,0,0,0,0,0,5000,서설
0,30,1,4,3,3,0,5,15000,보리수헤는밤
0,35,0,3,1,2,0,5,5000,대대포 막걸리
1,25,1,2,2,3,0,20,15000,우렁이쌀 청주
0,35,1,2,2,3,0,20,15000,우렁이쌀 청주
1,20,0,4,3,3,0,10,15000,만강에 비친 달
1,30,2,4,3,2,1,5,15000,미르아토 로제와인
0,25,0,4,0,0,1,0,15000,우주멜론미 스파클링 막걸리
1,20,3,2,0,4,0,40,100000,고리진
0,35,0,4,2,3,0,0,5000,DOK막걸리
0,25,2,3,2,3,0,10,15000,추사 블루 스위트
1,20,1,3,1,3,0,15,15000,우렁이쌀 청주
0,25,0,3,2,4,0,20,15000,벗이랑 버찌 홍국
1,20,0,4,2,0,1,0,5000,우주멜론미 스파클링 막걸리
1,20,1,3,2,2,0,10,5000,우포
1,25,0,4,1,2,0,0,15000,자연담은 복분자막걸리
1,40,2,5,5,5,0,30,100000,샤토미소 아이스와인
0,25,2,3,3,3,0,5,45000,시나브로 청수 화이트
0,25,0,3,0,0,1,5,15000,우주멜론미 스파클링 막걸리
0,30,2,3,4,4,0,10,5000,홍시와인
1,30,0,5,3,4,0,10,15000,지란지교
0,25,0,2,2,4,0,20,15000,벗이랑 버찌 홍국
1,30,0,1,4,5,0,20,15000,볼빨간막걸리 10
0,40,3,0,1,3,0,20,15000,이도 22
0,20,0,3,2,3,0,5,5000,백련 미스티 살균 막걸리
0,25,1,1,0,1,0,15,5000,서설
0,30,0,3,3,4,0,5,5000,벗이랑 강황
0,25,3,1,0,3,0,15,5000,모리
0,30,0,4,3,4,0,20,5000,지란지교
0,25,0,4,0,0,1,5,5000,우주멜론미 스파클링 막걸리
0,20,0,3,1,3,0,10,5000,백련 미스티 살균 막걸리
1,25,3,0,1,4,0,10,45000,메밀로
0,25,2,1,3,4,0,30,45000,그랑꼬또 청수
0,25,0,4,2,2,0,5,5000,자연담은 복분자막걸리
0,30,0,2,3,1,1,15,5000,선호 생막걸리
0,25,1,4,1,3,0,20,45000,술아 순곡주
0,25,0,2,3,4,0,15,5000,벗이랑 강황
0,25,1,2,1,4,0,15,45000,세종대왕어주 약주
1,20,2,4,4,2,0,5,15000,고도리 복숭아와인
1,20,0,5,0,0,1,0,5000,우주멜론미 스파클링 막걸리
1,20,2,3,3,2,0,10,5000,조은술 세종 바나나
1,40,0,4,3,4,0,10,15000,지란지교
1,35,0,2,2,2,0,10,5000,민주 포도 막걸리
0,20,1,3,2,2,0,15,5000,우포
0,25,2,1,3,3,0,15,100000,산머루 크라테 드라이
0,25,2,4,4,1,0,40,45000,장수 오미자주
0,25,3,3,0,3,0,30,75000,이강주 25%
0,25,3,1,1,2,0,15,5000,서울의 밤 25%
1,30,0,3,1,3,0,0,5000,동래아들
0,20,3,2,2,3,0,40,75000,아리아리 40%
0,30,1,3,3,2,0,20,15000,감사
0,25,0,2,2,2,1,0,5000,참주가 솔 막걸리
1,30,0,4,2,1,1,0,5000,우주멜론미 스파클링 막걸리
1,20,0,3,3,4,0,15,15000,벗이랑 강황
0,25,0,3,2,4,0,10,5000,붉은 원숭이
0,30,3,1,1,1,0,30,45000,토끼 소주(화이트)
1,20,1,2,1,3,0,15,15000,우렁이쌀 청주
0,25,0,2,2,3,0,15,45000,금풍양조
1,25,0,3,2,4,0,5,5000,감천막걸리
1,20,0,4,2,1,1,0,5000,우주멜론미 스파클링 막걸리
1,20,1,3,1,3,0,15,15000,우렁이쌀 청주
1,30,1,1,3,3,0,10,15000,그리움
0,30,1,0,0,0,0,0,5000,서설
1,30,1,0,2,4,0,10,15000,그리움
1,25,0,3,2,4,0,15,5000,벗이랑 버찌 홍국
0,25,0,3,2,2,0,5,5000,대대포 막걸리
1,20,3,3,0,2,0,30,45000,오매락
0,35,0,3,2,3,0,10,5000,백련 미스티 살균 막걸리
0,25,1,4,2,4,0,5,15000,술아 국화주
0,20,0,3,2,4,0,20,15000,벗이랑 버찌 홍국
1,30,3,3,0,3,0,5,5000,매실원주
1,30,1,4,2,3,0,20,15000,술아 순곡주
0,30,2,3,3,4,0,15,100000,시나브로 청수 화이트
1,40,2,5,5,5,0,40,100000,샤토미소 아이스와인
0,20,2,3,3,2,1,0,5000,애피소드 애플
1,20,0,3,2,4,0,10,9000,술취한 원숭이
0,25,0,3,1,4,0,10,9000,술취한 원숭이
1,20,1,3,0,1,0,10,15000,서설
0,25,3,3,0,4,0,10,6200,매실원주
0,35,0,4,1,3,0,10,4000,동래아들
0,30,3,3,0,3,0,5,6200,매실원주
0,30,1,0,0,0,0,5,15000,서설
1,40,2,3,1,2,0,10,35000,허니문
1,20,3,4,0,0,0,40,16000,오매락
0,30,0,3,3,4,0,10,12000,벗이랑 강황
0,25,1,2,2,3,0,20,3600,김포특주
0,25,3,2,1,3,0,30,13000,이강주 25%
0,25,1,3,1,2,0,20,10000,우포
1,35,3,5,0,3,0,5,25000,원매
1,25,1,1,0,0,0,20,15000,서설
0,25,0,5,1,0,1,5,6000,우주멜론미 스파클링 막걸리
1,20,0,4,1,3,0,10,4000,동래아들
0,20,1,2,2,2,0,20,20000,하타
1,20,0,3,2,4,0,10,9000,술취한 원숭이
1,20,3,3,1,2,0,40,16000,오매락
1,20,3,4,0,4,0,10,28000,아이엠더문
1,40,1,2,1,3,0,20,16000,우렁이쌀 청주
1,20,0,5,1,1,1,10,6000,우주멜론미 스파클링 막걸리
1,20,0,3,0,2,1,5,50000,말이야 막걸리야
1,25,2,3,2,3,0,10,22000,추사 블루 스위트
0,20,3,5,0,5,0,40,28000,아이엠더문
0,20,2,3,1,2,0,10,35000,허니문
1,30,3,4,0,3,0,10,12000,꿀샘 16
1,20,1,4,2,5,0,30,11000,한산소곡주
1,20,0,2,1,2,1,10,50000,말이야 막걸리야
1,20,2,3,1,2,0,10,35000,허니문
1,20,0,4,2,1,1,10,6000,우주멜론미 스파클링 막걸리
1,25,3,5,0,5,0,5,28000,아이엠더문
1,30,1,5,2,4,0,5,21000,술아 국화주
1,20,0,3,3,3,0,5,4000,우도 땅콩 전통주
0,30,1,1,0,3,0,5,16000,우렁이쌀 청주
0,25,3,2,0,3,0,5,6200,매실원주
0,25,2,1,4,4,0,40,61500,그랑꼬또 청수
0,25,1,2,1,1,0,10,15000,서설
0,40,1,3,2,1,0,20,10000,우포
0,35,1,1,2,3,0,30,20000,그리움
1,20,2,3,3,3,0,10,20000,고도리 화이트와인 스위트
1,20,0,4,3,3,0,10,16000,만강에 비친 달
1,20,3,0,0,3,0,40,22000,병영소주
1,30,3,3,0,3,0,10,6200,매실원주
1,25,1,3,3,3,0,20,17500,삼양춘 청주
0,20,3,2,0,3,0,30,13000,이강주 25%
1,30,2,3,1,2,0,10,35000,허니문
0,40,0,2,3,3,0,10,12000,해창 막걸리 9도
1,25,1,3,1,4,0,30,33000,세종대왕어주 약주
1,20,3,5,0,3,0,20,25000,원매
0,20,1,2,1,0,0,5,15000,서설
1,20,0,4,1,3,0,10,4000,동래아들
1,25,1,0,4,3,0,30,13500,능이주
1,20,2,4,2,2,0,20,12000,"제주, 동백"
1,35,2,5,2,1,0,20,12000,"제주, 동백"
0,25,1,3,2,0,0,20,15000,서설
1,30,0,3,1,2,0,5,3800,대대포 막걸리
0,25,1,3,2,3,0,30,21000,술아 순곡주
1,25,1,2,0,4,0,10,33000,세종대왕어주 약주
0,25,2,3,3,3,0,10,20000,고도리 화이트와인 스위트
0,35,0,5,0,0,1,5,6000,우주멜론미 스파클링 막걸리
0,25,2,3,4,2,0,12,38000,초선의 꿈 로제와인
0,20,0,4,0,0,1,10,6000,우주멜론미 스파클링 막걸리
0,35,3,5,0,3,0,5,25000,원매
0,35,1,4,2,5,0,30,11000,한산소곡주
0,25,2,3,2,3,0,10,22000,추사 블루 스위트
0,25,2,5,5,0,0,10,23000,세인트하우스 모과와인
0,25,1,1,2,4,0,30,33000,세종대왕어주 약주
1,20,2,3,4,2,0,12,38000,초선의 꿈 로제와인
0,25,0,5,0,0,1,5,6000,우주멜론미 스파클링 막걸리
0,25,1,2,3,4,0,40,40000,동짓달 기나긴 밤
1,30,2,5,5,5,0,10,120000,샤토미소 아이스와인
1,20,2,4,2,3,0,10,16000,복숭아와인
0,25,3,1,0,3,0,10,9800,모리
0,25,1,2,1,3,0,20,16000,우렁이쌀 청주
1,20,1,4,2,4,0,10,21000,술아 국화주
0,20,1,4,1,4,0,10,21000,술아 국화주
1,20,3,5,0,5,0,30,28000,아이엠더문
1,20,3,4,0,3,0,20,12000,꿀샘 16
1,20,3,3,0,2,0,20,16000,오매락
1,20,1,3,2,3,0,20,3600,김포특주
1,30,0,2,2,3,0,10,12000,해창 막걸리 9도
1,20,2,4,2,3,0,10,16000,복숭아와인
0,20,0,3,2,4,0,10,9000,술취한 원숭이
1,25,2,3,1,2,0,10,35000,허니문
0,25,0,4,5,4,0,5,33000,별산막걸리
1,20,3,2,0,3,0,10,12000,술샘19
0,20,1,3,2,3,0,30,21000,술아 순곡주
0,25,1,2,1,2,0,20,20000,하타
0,25,3,0,0,0,0,20,11200,여유19
0,20,2,3,2,3,0,10,22000,추사 블루 스위트
1,20,3,5,1,4,0,10,28000,아이엠더문
1,20,0,2,2,2,0,10,13200,민주 포도 막걸리
0,25,2,5,5,5,0,20,120000,샤토미소 아이스와인
0,25,1,2,2,5,0,20,33000,세종대왕어주 약주
0,25,3,0,0,5,0,20,15000,밀담 24
0,25,1,3,1,4,0,30,33000,세종대왕어주 약주
1,20,1,2,2,3,0,20,3600,김포특주
1,20,0,3,2,4,0,20,12000,벗이랑 버찌 홍국
0,25,3,2,0,2,0,30,16000,오매락
1,30,0,4,3,4,0,20,16000,지란지교
1,20,0,4,0,0,1,5,6000,우주멜론미 스파클링 막걸리
0,25,1,1,1,0,0,20,15000,서설
0,25,2,3,2,3,0,10,22000,추사 블루 스위트
1,20,3,3,0,2,0,10,6200,매실원주
0,25,1,3,1,4,0,20,33000,세종대왕어주 약주
0,20,3,3,1,3,0,20,12000,술샘16
0,25,1,4,2,4,0,10,21000,술아 국화주
1,20,2,3,2,3,0,10,22000,추사 블루 스위트
0,25,3,4,0,3,0,10,12000,꿀샘 16
1,30,3,5,0,4,0,10,28000,아이엠더문
0,20,2,3,1,2,0,10,35000,허니문
1,20,0,3,1,1,1,5,6000,우주멜론미 스파클링 막걸리
0,25,1,2,1,3,0,10,16000,우렁이쌀 청주
0,35,2,4,3,2,0,10,25000,고도리 청수 와인
0,35,0,4,4,4,0,10,33000,별산막걸리
0,25,1,2,2,5,0,30,33000,세종대왕어주 약주
0,30,0,5,2,1,1,10,6000,우주멜론미 스파클링 막걸리
0,25,0,3,2,2,0,5,3800,대대포 막걸리
0,30,1,3,3,3,0,20,17500,삼양춘 청주
1,35,1,5,5,5,0,40,30000,경성과하주
0,25,3,2,2,4,0,40,22000,담솔
0,25,2,3,1,3,0,10,22000,추사 블루 스위트
1,30,1,3,5,5,0,20,34200,별바랑
1,25,1,3,2,2,0,20,10000,우포
1,25,0,2,2,2,0,10,13200,민주 포도 막걸리
1,30,2,3,5,2,0,20,22000,샤토미소 랑 화이트와인
1,30,3,4,0,3,0,20,12000,꿀샘 16
1,25,3,3,1,3,0,20,12000,술샘16
0,25,1,4,1,5,0,20,46000,맑은 문희주
0,35,1,4,3,5,0,30,30000,경성과하주
0,30,1,4,2,2,0,10,11000,니모메
0,25,3,0,0,0,0,40,64000,화주
0,20,3,2,0,3,0,40,13000,이강주 25%
0,30,3,3,0,3,0,30,13000,이강주 25%
1,40,3,3,1,3,0,30,13000,이강주 25%
0,25,3,0,0,3,0,20,9800,모리
1,20,2,3,3,3,0,10,20000,고도리 화이트와인 스위트
0,30,3,1,0,4,0,40,22000,담솔
0,30,0,4,2,3,0,5,3000,세종 알밤주
1,30,1,4,1,3,0,20,21000,술아 순곡주
0,20,3,3,1,3,0,30,13000,이강주 25%
0,20,0,4,2,0,1,10,6000,우주멜론미 스파클링 막걸리
1,20,1,1,2,4,0,30,33000,세종대왕어주 약주
0,30,0,3,3,4,0,5,12000,벗이랑 강황
0,30,0,3,2,4,0,5,7000,감천막걸리
0,25,3,2,1,4,0,40,22000,담솔
1,25,2,3,1,2,0,10,35000,허니문
0,20,0,2,2,3,0,10,12000,해창 막걸리 9도
0,25,0,4,3,3,0,10,16000,만강에 비친 달
0,25,1,0,0,0,0,5,15000,서설
0,20,3,1,1,1,0,30,7900,서울의 밤 25%
0,25,1,4,3,4,0,30,30000,경성과하주
0,25,3,2,2,5,0,40,22000,담솔
0,30,1,5,5,5,0,40,30000,경성과하주
0,30,1,2,1,5,0,30,33000,세종대왕어주 약주
0,25,0,4,0,0,1,30,6000,우주멜론미 스파클링 막걸리
1,25,3,3,0,3,0,10,6200,매실원주
0,25,0,4,1,1,1,5,6000,우주멜론미 스파클링 막걸리
0,20,1,4,2,4,0,20,11000,한산소곡주
1,20,0,4,1,2,0,5,3250,자연담은 복분자막걸리
0,20,0,2,4,4,0,10,8000,볼빨간막걸리 10
1,25,0,4,0,2,1,5,6000,우주멜론미 스파클링 막걸리
0,30,1,2,2,3,0,20,3600,김포특주
0,20,0,3,2,3,0,5,30000,금풍양조
0,20,2,4,2,3,0,10,16000,복숭아와인
1,25,0,4,0,1,1,10,6000,우주멜론미 스파클링 막걸리
0,25,0,3,2,3,0,5,30000,금풍양조
0,30,0,4,3,5,0,20,16000,지란지교
1,30,1,5,2,2,0,10,11000,니모메
1,30,0,3,2,4,0,10,9000,술취한 원숭이
1,30,3,5,0,5,0,10,28000,아이엠더문
0,20,3,5,0,3,0,10,25000,원매
0,30,1,4,1,2,0,10,11000,니모메
0,25,1,3,1,2,0,20,10000,우포
1,30,0,4,2,3,0,5,3000,세종 알밤주
0,20,1,5,3,3,0,40,30000,경성과하주
0,25,3,2,0,5,0,30,22000,담솔
0,20,1,4,1,3,0,30,21000,술아 순곡주
1,20,0,5,1,3,0,10,4000,동래아들
0,25,0,4,1,2,0,5,3250,자연담은 복분자막걸리
0,25,3,3,1,3,0,20,12000,술샘16
0,25,0,3,1,4,0,5,7000,감천막걸리
1,40,3,1,0,3,0,10,9800,모리
1,25,0,3,1,4,0,5,7000,감천막걸리
